Intercept;LAI_year;p_year;Rn_year;VPD_year;e_act_year;e_star_year;ET_GF_year;LAI_^2;p_^2;Rn_^2;VPD_^2;e_act_^2;e_star_^2;LAI:p;LAI:Rn;LAI:VPD;LAI:e_act;LAI:e_star;p:Rn;p:VPD;p:e_act;p:e_star;Rn:VPD;Rn:e_act;Rn:e_star;VPD:e_act;VPD:e_star;e_act:e_star;row;col
1;0,663453851;-0,157304406;0,037078857;0,054255426;-0,005767562;0,017778397;0,084193677;0,440171013;0,024744676;0,001374842;0,002943651;3,33E-05;0,000316071;-0,104364214;0,024600111;0,035995971;-0,003826511;0,011795146;-0,005832668;-0,008534618;0,000907263;-0,00279662;0,002011729;-0,000213855;0,000659203;-0,000312922;0,000964574;-0,000102538;177;567
1;0,157321215;-0,249480513;4,143193563;-0,010412484;-0,001070023;0,040121824;1,40956378;0,024749965;0,062240527;17,1660529;0,00010842;1,14E-06;0,001609761;-0,039248577;0,651812244;-0,001638105;-0,000168337;0,006312014;-1,033646057;0,002597712;0,00026695;-0,010009613;-0,043140938;-0,004433311;0,166232481;1,11E-05;-0,000417768;-4,29E-05;289;869
1;0,16027379;-0,025716051;-5,597934723;0,175277889;-0,054768585;0,114160478;-4,166958332;0,025687688;0,000661315;31,33687316;0,030722338;0,002999598;0,013032615;-0,004121609;-0,897202216;0,028092452;-0,008777969;0,018296933;0,143956777;-0,004507455;0,001408432;-0,002935757;-0,98119418;0,306590962;-0,639062904;-0,009599722;0,020009808;-0,006252408;440;523
1;-0,289833631;-0,126516581;4,411392212;0,13151899;-0,039707621;0,061454773;-2,147912264;0,084003534;0,016006445;19,46038125;0,017297245;0,001576695;0,003776689;0,03666876;-1,278569822;-0,038118626;0,011508604;-0,01781166;-0,558114258;-0,016639333;0,005023672;-0,007775048;0,580181847;-0,17516589;0,271101107;-0,005222306;0,00808247;-0,002440223;471;636
1;0,350049734;-0,106084719;-5,639394124;0,168975741;-0,056355223;0,101166815;-2,35061717;0,122534816;0,011253968;31,80276609;0,028552801;0,003175911;0,010234724;-0,037134928;-1,974068414;0,059149913;-0,019727131;0,035413417;0,598253543;-0,017925744;0,005978428;-0,010732253;-0,952920799;0,317809314;-0,57051954;-0,009522666;0,017094737;-0,005701278;443;517
1;0,464092255;-0,161730539;1,841583252;-0,004358679;0,019074976;0,021625161;-2,738484144;0,215381621;0,026156767;3,391428874;1,90E-05;0,000363855;0,000467648;-0,07505789;0,854664524;-0,002022829;0,008852549;0,01003607;-0,297840251;0,000704932;-0,003085006;-0,003497449;-0,00802687;0,035128157;0,039824535;-8,31E-05;-9,43E-05;0,000412499;292;877
1;-0,082191229;-0,159604549;4,77016449;0,041313916;-0,022360682;0,005407929;-0,648454726;0,006755398;0,025473612;22,75446926;0,00170684;0,0005;2,92E-05;0,013118094;-0,392065681;-0,003395642;0,001837852;-0,000444484;-0,761339954;-0,006593889;0,003568867;-0,00086313;0,197074177;-0,106664134;0,025796713;-0,000923807;0,000223423;-0,000120925;314;786
1;0,193664594;-0,042608678;9,117571513;0,110434294;-0,03429253;0,099334121;-0,741091311;0,037505975;0,001815499;83,13011029;0,012195733;0,001175978;0,009867268;-0,008251792;1,765750786;0,021387213;-0,006641249;0,019237502;-0,388487672;-0,004705459;0,001461159;-0,004232496;1,006892571;-0,312664594;0,90568595;-0,003787071;0,010969893;-0,003406418;461;653
1;0,623018146;-0,051451794;6,471405029;0,131862462;-0,059344281;0,045182217;-2,016070604;0,38815161;0,002647287;41,87908305;0,017387709;0,003521744;0,002041433;-0,032055401;4,031802761;0,082152706;-0,036972564;0,028149341;-0,332965397;-0,00678456;0,00305337;-0,002324706;0,853335397;-0,384040878;0,292392428;-0,007825283;0,005957838;-0,002681306;580;682
1;0,186586082;-0,122137964;8,095648629;0,154306442;-0,027104372;0,106326853;0,186027795;0,034814366;0,014917682;65,53952673;0,023810478;0,000734647;0,0113054;-0,022789244;1,510535359;0,028791434;-0,005057299;0,019839111;-0,988786039;-0,018846675;0,003310473;-0,012986545;1,249210732;-0,219427475;0,860784838;-0,004182379;0,016406918;-0,002881923;495;640
